query,reference,response,bleu,rouge_l,intent,sentiment,escalated
How do I reset my online banking password?,"To reset your password, go to the login page and select ""Forgot Password."" Enter your registered email or phone number, and we will send a verification code. Enter the code and choose a new password that is at least 8 characters with a mix of letters, numbers, and symbols.","To reset your online banking password, go to the login page and select ""Forgot Password."" Enter your registered email or phone number, and we will send a verification code. Enter the code and choose a new password that is at least 8 characters with a mix of letters, numbers, and symbols.",0.9284,0.98,passcode_forgotten,Negative,False
How do I dispute a charge on my bill?,"If you notice an incorrect charge, go to Billing > Dispute a Charge in the app, select the transaction, and submit a dispute request with a brief explanation. Disputes are typically reviewed within 5-7 business days. You will receive an email update once the review is complete.","You can dispute an incorrect charge by going to Billing > Dispute a Charge in the app, selecting the transaction, and submitting a brief explanation. The review of your dispute will be completed within 5-7 business days, at which point you'll receive an email update if necessary.",0.3154,0.6737,direct_debit_payment_not_recognised,Negative,False
My card was charged twice for the same transaction.,"Duplicate charges are usually automatically reversed by the merchant's bank within 3-5 business days. If the duplicate charge is not reversed after 5 business days, please open a dispute through Billing > Dispute a Charge, and our team will investigate and refund the duplicate amount if confirmed.","To dispute a charge on your bill, go to Billing > Dispute a Charge in the app, select the transaction, and submit a dispute request with a brief explanation.",0.0585,0.1579,transaction_charged_twice,Negative,False
I want to close my account.,"To request account closure, please download the Account Closure Form from Settings > Account Management > Close Account. Complete the form, sign it, and upload it along with a valid ID. Once submitted, our team will process the request and contact you within 3 business days to confirm.","To close your account, ensure it is zeroed out, there are no pending transactions or active subscriptions, and contact support if necessary.",0.0067,0.1765,terminate_account,Negative,False
What payment methods are accepted?,"We accept debit card, credit card, bank transfer, and direct debit. You can add or update your payment method under Settings > Payment Methods in your online account or mobile app.","You can pay with bank transfer, debit card, credit card, or direct debit (autopay).",0.0754,0.2727,supported_cards_and_currencies,Negative,False
"My card was stolen, what should I do?","If your card is lost or stolen, immediately freeze it in the app under Cards > Freeze Card, then contact us to issue a replacement. This prevents any unauthorized transactions while your new card is being processed.",You should freeze your card immediately under Account > Cards > Freeze Card.,0.0172,0.2979,lost_or_stolen_card,Negative,False
How do I report a suspicious transaction?,"To report a suspicious transaction, go to Security > Report Fraud and select the transaction in question. Our fraud team will investigate within 24 hours and contact you with the outcome.",You should contact our 24/7 fraud hotline to report the suspicious transaction. Your card will be frozen instantly.,0.0085,0.2041,cancel_transfer,Negative,False
Why is my internet connection not working?,"First restart your router by unplugging it for 30 seconds and plugging it back in. If the issue persists, check Service Status in the app for any outages reported in your area.","Online banking supports the latest versions of Chrome, Firefox, Safari, and Edge.",0.0038,0.0455,lost_or_stolen_phone,Negative,False
How do I cancel a subscription or add-on service?,"To cancel a subscription or add-on, go to Subscriptions > Manage, select the service, and choose Cancel. The service remains active until the end of the current billing cycle.","To cancel a subscription or add-on service, go to Account > Plans & Services > Manage Add-ons, select the service you want to cancel, and confirm cancellation. Cancelled add-ons remain active until the end of the current billing cycle, after which they will not be renewed or charged.",0.2463,0.6494,terminate_account,Negative,False
How do I update my billing address?,You can update your billing address under Settings > Personal Information > Billing Address. Changes apply immediately and will appear on your next generated invoice.,To update your billing address under Account > Personal Details > Billing Address. Changes take effect immediately for future statements.,0.2598,0.4878,edit_personal_details,Negative,False
